Day fraction since midnight on 	pH probe (pH)
0.644904391	7.089251995
0.644915982	7.089437962
0.644927537	7.089728355
0.644939127	7.089104652
0.644950695	7.089380741
0.644962262	7.089338303
0.644973852	7.089200974
0.644985419	7.089607239
0.644996986	7.088545322
0.645008577	7.089305878
0.645020132	7.089186192
0.645031722	7.089545727
0.64504329	7.089743137
0.64505488	7.088886261
0.645066447	7.089355946
0.645078014	7.089492321
0.645089581	7.089736462
0.645101149	7.089743137
0.645112727	7.088865757
0.645124318	7.089358807
0.645135885	7.089342117
0.645147452	7.089865208
0.645159042	7.089183331
0.645170609	7.088961124
0.645182176	7.08948803
0.645193744	7.089517593
0.645205322	7.089803696
0.645216913	7.088943481
0.64522848	7.089244843
0.645240047	7.089078903
0.645251637	7.089882851
0.645263204	7.090141296
0.645274771	7.090116501
0.645286339	7.089524269
0.645297917	7.089142323
0.645309508	7.089836121
0.645321075	7.089549065
0.645332642	7.088559628
0.645344232	7.089517593
0.645355799	7.089725018
0.645367367	7.089728832
0.645378934	7.08969307
0.645390512	7.089064121
0.645402103	7.088925362
0.64541367	7.088752747
0.645425237	7.089374542
0.645436804	7.089369774
0.645448394	7.089187145
0.645459962	7.089391708
0.645471529	7.089492321
0.645483107	7.089695454
0.645494698	7.089143753
0.645506265	7.089531899
0.645517832	7.089323044
0.645529399	7.089646339
0.645540989	7.089412689
0.645552557	7.089062214
0.645564124	7.089459419
0.645575702	7.089258194
0.645587293	7.089284897
0.64559886	7.089603424
0.645610427	7.088924885
0.645621994	7.089334965
0.645633585	7.089523792
0.645645152	7.089772224
0.645656719	7.089772224
0.645668321	7.088873386
0.645679888	7.089463234
0.645691455	7.089704037
0.645703022	7.08979702
0.645714589	7.090141773
0.64572618	7.089452267
0.645737747	7.089442253
0.645749314	7.08937788
0.645760893	7.089735031
0.64577246	7.089434624
0.64578405	7.089337349
0.645795617	7.089420795
0.645807184	7.089352131
0.645818775	7.089621544
0.645830342	7.088785648
0.645841909	7.088766098
0.645853488	7.089035511
0.645865055	7.088935375
0.645876645	7.089406014
0.645888212	7.088846684
0.645899779	7.089355469
0.64591137	7.089438438
0.645922937	7.089668274
0.645934504	7.089585304
0.645946083	7.088730335
0.64595765	7.089356422
0.64596924	7.089595795
0.645980807	7.089313507
0.645992374	7.089337349
0.646003965	7.088943481
0.646015532	7.089437962
0.646027099	7.089667797
0.646038678	7.089778423
0.646050245	7.08899641
0.646061835	7.089700222
0.646073402	7.089460373
0.646084993	7.089682102
0.64609656	7.089420319
0.64610815	7.08852005
0.646119694	7.089582443
0.646131273	7.089609623
0.64614284	7.089800358
0.64615443	7.089972973
0.646165997	7.089882851
0.646177565	7.089169979
0.646189155	7.089445114
0.646200722	7.08969307
0.646212289	7.089413166
0.646223879	7.088889599
0.646235447	7.089233398
0.646247014	7.089585304
0.646258604	7.089585304
0.64627016	7.089204788
0.64628175	7.089000225
0.646293317	7.089276314
0.646304884	7.088717461
0.646316474	7.089624882
0.646328042	7.089089394
0.646339609	7.089258671
0.646351199	7.08929491
0.646362778	7.089469433
0.646374345	7.089943886
0.646385912	7.08902216
0.646397479	7.0896101
0.64640907	7.089348793
0.646420637	7.089767933
0.646432204	7.089639187
0.646443794	7.089111328
0.64645535	7.089530468
0.64646694	7.089474201
0.646478507	7.089900971
0.646490097	7.089560509
0.646501665	7.088964939
0.646513232	7.089467049
0.646524799	7.089320183
0.646536366	7.089560986
0.646547945	7.089479923
0.646559535	7.089054108
0.646571102	7.08935976
0.646582692	7.089653492
0.64659426	7.090008736
0.646605827	7.090051651
0.646617394	7.089557171
0.646628961	7.089517593
0.64664054	7.089534283
0.64665213	7.089553356
0.646663697	7.089075565
0.646675264	7.08948803
0.646686855	7.089592457
0.646698422	7.089552879
0.646709989	7.089391708
0.646721556	7.088657379
0.646733135	7.08881712
0.646744725	7.088633537
0.646756292	7.088939667
0.646767859	7.088875771
0.64677945	7.089071751
0.646791017	7.089416981
0.646802584	7.089438438
0.646814151	7.09001255
0.64682573	7.089311123
0.64683732	7.088974953
0.646848887	7.089344978
0.646860454	7.089549065
0.646872021	7.089735985
0.646883612	7.088673592
0.646895179	7.088782787
0.646906746	7.089241028
0.646918325	7.08939743
0.646929915	7.089743137
0.646941482	7.088873863
0.646953049	7.089765072
0.646964616	7.089438438
0.646976206	7.089223385
0.646987773	7.089251995
0.64699934	7.088652134
0.647010942	7.08955574
0.647022509	7.089409351
0.647034076	7.090112686
0.647045643	7.089951515
0.64705721	7.089528561
0.647068801	7.0896101
0.647080368	7.089355946
0.647091935	7.08987236
