Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()					Time	Cum Time	Inlet	Outlet
0.715283484	10.20249844	10.20249844	116151.2656	6.829999924	4.38199997	0.500526316	0.805894737					61800.493	4690.107179	4.38199997	6.829999924
0.715341339	10.20248413	10.20248413	116157.4453	6.949999809	4.407000065	0.500526316	0.805894737					61805.49171	4695.105885	4.407000065	6.949999809
0.715399216	10.20234203	10.20234203	116178.1719	6.909999847	4.389999867	0.500526316	0.805894737					61810.49224	4700.106415	4.389999867	6.909999847
0.715457085	10.20236969	10.20236969	116162.0938	6.71999979	4.37899971	0.500526316	0.805894737					61815.49211	4705.106288	4.37899971	6.71999979
0.715514962	10.20244026	10.20244026	116192.9688	6.5	4.377999783	0.500526316	0.805894737					61820.49274	4710.106921	4.377999783	6.5
0.715572824	10.2025156	10.2025156	116177.5313	6.389999867	4.419000149	0.500526316	0.805894737					61825.49199	4715.106172	4.419000149	6.389999867
0.715630694	10.20244789	10.20244789	116192.1016	6.389999867	4.425000191	0.500526316	0.805894737					61830.492	4720.106174	4.425000191	6.389999867
0.715688577	10.20243359	10.20243359	116200.3672	6.369999886	4.393000126	0.500526316	0.805894737					61835.49305	4725.107231	4.393000126	6.369999886
0.715746444	10.20258045	10.20258045	116201.9063	6.380000114	4.395999908	0.500526316	0.805894737					61840.49278	4730.106957	4.395999908	6.380000114
0.715804309	10.20247555	10.20247555	116198.9297	6.440000057	4.371999741	0.500526316	0.805894737					61845.49228	4735.106459	4.371999741	6.440000057
0.715862178	10.20237637	10.20237637	116202.2969	6.610000134	4.362999916	0.500526316	0.805894737					61850.49221	4740.106392	4.362999916	6.610000134
0.715920062	10.20241737	10.20241737	116224.9922	6.670000076	4.342000008	0.500526316	0.805894737					61855.49338	4745.107561	4.342000008	6.670000076
0.715977935	10.20243645	10.20243645	116228.6328	6.670000076	4.274000168	0.500526316	0.805894737					61860.49357	4750.107745	4.274000168	6.670000076
0.716035803	10.20236111	10.20236111	116225.4297	6.610000134	4.230999947	0.500526316	0.805894737					61865.49341	4755.107592	4.230999947	6.610000134
0.716093673	10.20237541	10.20237541	116214.9297	6.440000057	4.211999893	0.500526316	0.805894737					61870.49335	4760.107525	4.211999893	6.440000057
0.716151525	10.20248985	10.20248985	116237.6484	6.300000191	4.197999954	0.500526316	0.805894737					61875.49172	4765.105895	4.197999954	6.300000191
0.716209411	10.20258808	10.20258808	116244.25	6.179999828	4.245999813	0.500526316	0.805894737					61880.49314	4770.107315	4.245999813	6.179999828
0.716267283	10.20246983	10.20246983	116256.6953	6.050000191	4.380000114	0.500526316	0.805894737					61885.49325	4775.107429	4.380000114	6.050000191
0.716325148	10.20244026	10.20244026	116265.0938	6.190000057	4.407000065	0.500526316	0.805894737					61890.49275	4780.106931	4.407000065	6.190000057
0.716383014	10.20225334	10.20225334	116241.5547	6.380000114	4.356999874	0.500526316	0.805894737					61895.4924	4785.106579	4.356999874	6.380000114
0.716440888	10.20246506	10.20246506	116270.1719	6.529999733	4.281000137	0.500526316	0.805894737					61900.49271	4790.106884	4.281000137	6.529999733
0.716498766	10.20251846	10.20251846	116281.7578	6.519999981	4.260000229	0.500526316	0.805894737					61905.49342	4795.107595	4.260000229	6.519999981
0.716556637	10.20248795	10.20248795	116274.1797	6.420000076	4.239999771	0.500526316	0.805894737					61910.49342	4800.107598	4.239999771	6.420000076
0.716614501	10.20236588	10.20236588	116284.1641	6.25	4.260000229	0.500526316	0.805894737					61915.49286	4805.107039	4.260000229	6.25
0.716672367	10.20250893	10.20250893	116288.8828	6.159999847	4.28399992	0.500526316	0.805894737					61920.49247	4810.106652	4.28399992	6.159999847
0.716730237	10.20261097	10.20261097	116292.2109	6.179999828	4.322000027	0.500526316	0.805894737					61925.49247	4815.106646	4.322000027	6.179999828
0.716788119	10.20252419	10.20252419	116297.1797	6.110000134	4.356999874	0.500526316	0.805894737					61930.49345	4820.107625	4.356999874	6.110000134
0.716845969	10.20221329	10.20221329	116301.5547	6.010000229	4.376999855	0.500526316	0.805894737					61935.49171	4825.105891	4.376999855	6.010000229
0.716903849	10.20248985	10.20248985	116291.9219	6.170000076	4.407999992	0.500526316	0.805894737					61940.49256	4830.10674	4.407999992	6.170000076
0.716961713	10.20244789	10.20244789	116311.4766	6.420000076	4.382999897	0.500526316	0.805894737					61945.49198	4835.106156	4.382999897	6.420000076
0.717019597	10.20241261	10.20241261	116307.7188	6.519999981	4.331999779	0.500526316	0.805894737					61950.49316	4840.107342	4.331999779	6.519999981
0.717077465	10.20246792	10.20246792	116317.0078	6.460000038	4.277999878	0.500526316	0.805894737					61955.49295	4845.107128	4.277999878	6.460000038
0.717135338	10.20248699	10.20248699	116337.4219	6.329999924	4.262000084	0.500526316	0.805894737					61960.49323	4850.107407	4.262000084	6.329999924
0.717193202	10.20260429	10.20260429	116315.625	6.059999943	4.322999954	0.500526316	0.805894737					61965.49269	4855.106866	4.322999954	6.059999943
0.717251073	10.20245552	10.20245552	116327.7266	6.039999962	4.352000237	0.500526316	0.805894737					61970.49272	4860.106903	4.352000237	6.039999962
0.717308949	10.20244408	10.20244408	116326.6094	6.239999771	4.342999935	0.500526316	0.805894737					61975.49321	4865.107389	4.342999935	6.239999771
0.717366819	10.20235538	10.20235538	116334.9219	6.320000172	4.285999775	0.500526316	0.805894737					61980.49313	4870.107305	4.285999775	6.320000172
0.717424671	10.20240116	10.20240116	116357.5859	6.309999943	4.184000015	0.500526316	0.805894737					61985.49153	4875.105709	4.184000015	6.309999943
0.717482555	10.20241737	10.20241737	116340.3672	6.269999981	4.130000114	0.500526316	0.805894737					61990.49278	4880.106956	4.130000114	6.269999981
0.717540408	10.2025013	10.2025013	116344.0078	6.25	4.093999863	0.500526316	0.805894737					61995.49128	4885.105455	4.093999863	6.25
0.717598292	10.20242786	10.20242786	116357.4531	6.329999924	4.088999748	0.500526316	0.805894737					62000.49243	4890.106607	4.088999748	6.329999924
0.717656151	10.20260048	10.20260048	116342.2656	6.170000076	4.09800005	0.500526316	0.805894737					62005.49146	4895.105633	4.09800005	6.170000076
0.717714024	10.20259857	10.20259857	116361.0625	5.949999809	4.107999802	0.500526316	0.805894737					62010.49166	4900.105843	4.107999802	5.949999809
0.717771905	10.20246506	10.20246506	116365.6641	6.019999981	4.09800005	0.500526316	0.805894737					62015.49255	4905.106727	4.09800005	6.019999981
0.717829763	10.20239449	10.20239449	116364.9688	6.279999733	4.130000114	0.500526316	0.805894737					62020.49153	4910.10571	4.130000114	6.279999733
0.717887634	10.20250607	10.20250607	116369.5469	6.449999809	4.25699997	0.500526316	0.805894737					62025.4916	4915.105782	4.25699997	6.449999809
0.717945509	10.20246506	10.20246506	116373.9297	6.349999905	4.27699995	0.500526316	0.805894737					62030.49194	4920.106121	4.27699995	6.349999905
0.718003375	10.20239639	10.20239639	116386.3672	6.079999924	4.265999794	0.500526316	0.805894737					62035.49162	4925.105796	4.265999794	6.079999924
0.718061248	10.20237064	10.20237064	116374	5.880000114	4.31400013	0.500526316	0.805894737					62040.49184	4930.106014	4.31400013	5.880000114
0.718119117	10.20251274	10.20251274	116382.1484	6.150000095	4.276000023	0.500526316	0.805894737					62045.49172	4935.105896	4.276000023	6.150000095
0.718176986	10.20260525	10.20260525	116381.9766	6.400000095	4.242000103	0.500526316	0.805894737					62050.49158	4940.10576	4.242000103	6.400000095
0.718234857	10.20251656	10.20251656	116396.7656	6.25	4.211999893	0.500526316	0.805894737					62055.4916	4945.10578	4.211999893	6.25
0.718292739	10.20229435	10.20229435	116399.2813	6	4.199999809	0.500526316	0.805894737					62060.49268	4950.106854	4.199999809	6
0.718350608	10.20244026	10.20244026	116395.1953	5.820000172	4.171000004	0.500526316	0.805894737					62065.49256	4955.106735	4.171000004	5.820000172
0.718408474	10.20245838	10.20245838	116390.7813	5.710000038	4.195000172	0.500526316	0.805894737					62070.49214	4960.106323	4.195000172	5.710000038
0.718466339	10.20248413	10.20248413	116408.4766	5.679999828	4.285999775	0.500526316	0.805894737					62075.49165	4965.105825	4.285999775	5.679999828
0.718524204	10.20250893	10.20250893	116401.7031	5.679999828	4.290999889	0.500526316	0.805894737					62080.4912	4970.105378	4.290999889	5.679999828
0.718582091	10.20235538	10.20235538	116402.2188	5.710000038	4.335000038	0.500526316	0.805894737					62085.49262	4975.106797	4.335000038	5.710000038
0.718639959	10.20255184	10.20255184	116413.3828	5.639999867	4.361999989	0.500526316	0.805894737					62090.49247	4980.106644	4.361999989	5.639999867
0.718697829	10.2024498	10.2024498	116408.4766	5.570000172	4.388999939	0.500526316	0.805894737					62095.49246	4985.106638	4.388999939	5.570000172
0.718755694	10.20240307	10.20240307	116425.8516	5.710000038	4.340000153	0.500526316	0.805894737					62100.49197	4990.106148	4.340000153	5.710000038
0.718813575	10.20243835	10.20243835	116417.5391	5.849999905	4.263999939	0.500526316	0.805894737					62105.49287	4995.10705	4.263999939	5.849999905
0.718871425	10.20245171	10.20245171	116410.6484	5.860000134	4.231999874	0.500526316	0.805894737					62110.49108	5000.105255	4.231999874	5.860000134
0.718929311	10.20233154	10.20233154	116422.3047	5.820000172	4.274000168	0.500526316	0.805894737					62115.49247	5005.106649	4.274000168	5.820000172
0.718987172	10.20246601	10.20246601	116436.9688	5.610000134	4.249000073	0.500526316	0.805894737					62120.4917	5010.105874	4.249000073	5.610000134
0.719045039	10.2023859	10.2023859	116422.9453	5.369999886	4.121999741	0.500526316	0.805894737					62125.49137	5015.105548	4.121999741	5.369999886
0.719102921	10.20264053	10.20264053	116425.8516	5.21999979	4.086999893	0.500526316	0.805894737					62130.4924	5020.106579	4.086999893	5.21999979
0.719160778	10.20250225	10.20250225	116420.75	5.21999979	4.093999863	0.500526316	0.805894737					62135.49122	5025.105397	4.093999863	5.21999979
0.719218651	10.20250416	10.20250416	116416.2109	5.269999981	4.171999931	0.500526316	0.805894737					62140.49145	5030.105625	4.171999931	5.269999981
0.719276526	10.202281	10.202281	116428.5547	5.279999733	4.255000114	0.500526316	0.805894737					62145.49185	5035.106025	4.255000114	5.279999733
0.719334409	10.20236301	10.20236301	116442.2578	5.340000153	4.236000061	0.500526316	0.805894737					62150.49292	5040.107099	4.236000061	5.340000153
0.719392268	10.20237827	10.20237827	116435.1484	5.400000095	4.160999775	0.500526316	0.805894737					62155.49192	5045.106099	4.160999775	5.400000095
0.719450147	10.20241642	10.20241642	116435.9688	5.329999924	4.160999775	0.500526316	0.805894737					62160.49266	5050.106836	4.160999775	5.329999924
0.719508016	10.20238304	10.20238304	116443.2656	5.369999886	4.201000214	0.500526316	0.805894737					62165.49261	5055.106787	4.201000214	5.369999886
0.719565867	10.20241928	10.20241928	116462.1172	6.090000153	4.183000088	0.500526316	0.805894737					62170.49093	5060.105104	4.183000088	6.090000153
0.71962374	10.20244694	10.20244694	116450.6172	6.130000114	4.142000198	0.500526316	0.805894737					62175.49114	5065.105314	4.142000198	6.130000114
0.719681715	10.20252991	10.20252991	116463.6563	5.639999867	4.125	0.500526316	0.805894737					62180.50017	5070.114346	4.125	5.639999867
0.719739578	10.20250797	10.20250797	116449.2266	5.309999943	4.184000015	0.500526316	0.805894737					62185.49954	5075.113717	4.184000015	5.309999943
0.719797456	10.20235538	10.20235538	116460.6797	5.199999809	4.156000137	0.500526316	0.805894737					62190.50022	5080.114403	4.156000137	5.199999809
0.719855323	10.2024231	10.2024231	116449.3906	5.179999828	4.139999867	0.500526316	0.805894737					62195.49991	5085.114085	4.139999867	5.179999828
0.719913093	10.20250797	10.20250797	116458.9609	5.070000172	4.183000088	0.500526316	0.805894737					62200.49124	5090.105422	4.183000088	5.070000172
0.719970964	10.20235443	10.20235443	116449.8672	4.96999979	4.165999889	0.500526316	0.805894737					62205.49126	5095.105442	4.165999889	4.96999979
0.720028932	10.20239449	10.20239449	116467.5313	5.029999733	4.190000057	0.500526316	0.805894737					62210.49971	5100.113886	4.190000057	5.029999733
0.720086811	10.20262527	10.20262527	116475.9609	5.210000038	4.210000038	0.500526316	0.805894737					62215.50046	5105.11464	4.210000038	5.210000038
0.720144671	10.2025013	10.2025013	116471.2109	5.360000134	4.206999779	0.500526316	0.805894737					62220.49953	5110.113709	4.206999779	5.360000134
0.720202543	10.20244408	10.20244408	116473.5938	5.380000114	4.25399971	0.500526316	0.805894737					62225.49971	5115.113885	4.25399971	5.380000114
0.72026042	10.20234966	10.20234966	116473.6172	5.230000019	4.296000004	0.500526316	0.805894737					62230.50031	5120.114484	4.296000004	5.230000019
