Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()				
0.671448511	10.20252323	10.20252323	110966.4766	3.819999933	6.429999828	0.500526316	0.805894737	57998.15141	815.0086426	3.769999981	6.477000237
0.67150638	10.20257568	10.20257568	110954.4063	3.849999905	6.437999725	0.500526316	0.805894737	58003.15384	820.011073	3.779999971	6.474999905
0.671564244	10.20241833	10.20241833	110976.1484	3.859999895	6.43599987	0.500526316	0.805894737	58008.15153	825.00876	3.809999943	6.46600008
0.671622116	10.2025938	10.2025938	110958.4531	3.900000095	6.452000141	0.500526316	0.805894737	58013.15133	830.0085638	3.829999924	6.463999748
0.671680005	10.20253277	10.20253277	110964.1484	3.920000076	6.447999954	0.500526316	0.805894737	58018.1512	835.0084282	3.819999933	6.429999828
0.671737892	10.20234966	10.20234966	110972.9844	3.930000067	6.445000172	0.500526316	0.805894737	58023.1507	840.0079296	3.849999905	6.437999725
0.671795725	10.20246124	10.20246124	110971.2813	3.950000048	6.44299984	0.500526316	0.805894737	58028.15086	845.0080877	3.859999895	6.43599987
0.671853595	10.20249176	10.20249176	110950.7969	3.960000038	6.419000149	0.500526316	0.805894737	58033.15245	850.00968	3.900000095	6.452000141
0.671911432	10.20244026	10.20244026	110977.6875	3.980000019	6.434999943	0.500526316	0.805894737	58038.15389	855.0111254	3.920000076	6.447999954
0.671969308	10.20250893	10.20250893	110955.5547	4.010000229	6.428999901	0.500526316	0.805894737	58043.1506	860.0078275	3.930000067	6.445000172
0.672027178	10.20254517	10.20254517	110953.8359	4.019999981	6.40199995	0.500526316	0.805894737	58048.1506	865.0078301	3.950000048	6.44299984
0.672085056	10.20260525	10.20260525	110970.9375	4.050000191	6.409999847	0.500526316	0.805894737	58053.14768	870.0049123	3.960000038	6.419000149
0.672143003	10.20253658	10.20253658	110958.7578	4.059999943	6.402999878	0.500526316	0.805894737	58058.14825	875.0054765	3.980000019	6.434999943
0.672200871	10.20251656	10.20251656	110959.3516	4.070000172	6.396999836	0.500526316	0.805894737	58063.14821	880.0054358	4.010000229	6.428999901
0.672258738	10.2025795	10.2025795	110967.0703	4.090000153	6.399000168	0.500526316	0.805894737	58068.14881	885.0060432	4.019999981	6.40199995
0.6723166	10.20258331	10.20258331	110961.8828	4.099999905	6.375	0.500526316	0.805894737	58073.15548	890.0127072	4.050000191	6.409999847
0.672374482	10.20259762	10.20259762	110950.4141	4.119999886	6.382999897	0.500526316	0.805894737	58078.15529	895.0125197	4.059999943	6.402999878
0.672432352	10.20258904	10.20258904	110954.0391	4.150000095	6.350999832	0.500526316	0.805894737	58083.15495	900.0121853	4.070000172	6.396999836
0.672490228	10.2024889	10.2024889	110956.2656	4.179999828	6.31400013	0.500526316	0.805894737	58088.15421	905.0114448	4.090000153	6.399000168
0.672548076	10.20242596	10.20242596	110950.5625	4.179999828	6.31400013	0.500526316	0.805894737	58093.15525	910.0124842	4.099999905	6.375
0.672605867	10.20271206	10.20271206	110975.5625	4.199999809	6.298999786	0.500526316	0.805894737	58098.15521	915.0124435	4.119999886	6.382999897
0.672663841	10.20239067	10.20239067	110950.3516	4.230000019	6.31099987	0.500526316	0.805894737	58103.15566	920.0128867	4.150000095	6.350999832
0.672721708	10.20243263	10.20243263	110950.5234	4.25	6.30700016	0.500526316	0.805894737	58108.15378	925.0110144	4.179999828	6.31400013
0.672779562	10.20246601	10.20246601	110965.0703	4.260000229	6.308000088	0.500526316	0.805894737	58113.14691	930.0041395	4.179999828	6.31400013
