Day fraction since midnight on 	photometer (volts)	photometer (mg/L)	Source pressure (Pa)	Outlet Turb (NTU)	Inlet Turb (NTU)	Pump Control ()	Pump control backwash ()						Time	Cum Time	Inlet	Outlet
0.615280639	10.20251369	10.20251369	116168.8281	3.059999943	4.529999733	0.500526316	0.805894737						53160.24718	500.0187888	4.529999733	3.059999943
0.615338594	10.20261478	10.20261478	116182.0781	3.200000048	4.513000011	0.500526316	0.805894737						53165.25452	505.0261267	4.513000011	3.200000048
0.615396438	10.20249653	10.20249653	116192.8281	3.309999943	4.486000061	0.500526316	0.805894737						53170.25223	510.0238397	4.486000061	3.309999943
0.615454243	10.20251942	10.20251942	116212.2266	3.569999933	4.488999844	0.500526316	0.805894737						53175.24662	515.0182262	4.488999844	3.569999933
0.615512138	10.20266724	10.20266724	116209.7031	3.639999867	4.484000206	0.500526316	0.805894737						53180.24868	520.0202851	4.484000206	3.639999867
0.615569979	10.20264721	10.20264721	116227.5234	3.549999952	4.478000164	0.500526316	0.805894737						53185.24614	525.0177475	4.478000164	3.549999952
0.615627849	10.20258427	10.20258427	116234.1094	3.5	4.480000019	0.500526316	0.805894737						53190.24615	530.0177587	4.480000019	3.5
0.615685731	10.20244217	10.20244217	116234.1563	3.389999867	4.474999905	0.500526316	0.805894737						53195.24717	535.0187722	4.474999905	3.389999867
0.615743603	10.20249081	10.20249081	116243.25	3.389999867	4.525000095	0.500526316	0.805894737						53200.24728	540.018887	4.525000095	3.389999867
0.615801541	10.20260429	10.20260429	116249.2422	3.599999905	4.521999836	0.500526316	0.805894737						53205.25313	545.0247302	4.521999836	3.599999905
0.615859394	10.20256424	10.20256424	116248.4688	3.289999962	4.513000011	0.500526316	0.805894737						53210.25168	550.0232813	4.513000011	3.289999962
0.615917217	10.20252895	10.20252895	116240.3828	3.190000057	4.515999794	0.500526316	0.805894737						53215.24751	555.0191194	4.515999794	3.190000057
0.615975175	10.20260239	10.20260239	116252.0781	3.839999914	4.499000073	0.500526316	0.805894737						53220.25515	560.026751	4.499000073	3.839999914
0.616033006	10.20265198	10.20265198	116270.8203	3.589999914	4.482999802	0.500526316	0.805894737						53225.2517	565.0233062	4.482999802	3.589999914
0.616090884	10.20263004	10.20263004	116261.1172	3.389999867	4.495999813	0.500526316	0.805894737						53230.25237	570.0239741	4.495999813	3.389999867
0.616148796	10.20247555	10.20247555	116285.5156	3.359999895	4.493999958	0.500526316	0.805894737						53235.25597	575.0275795	4.493999958	3.359999895
0.61620668	10.2026701	10.2026701	116267.6953	3.24000001	4.500999928	0.500526316	0.805894737						53240.25718	580.028783	4.500999928	3.24000001
0.616264475	10.20250797	10.20250797	116281.7188	3.5	4.506000042	0.500526316	0.805894737						53245.25061	585.0222192	4.506000042	3.5
0.616322347	10.20261574	10.20261574	116291.4766	3.359999895	4.52699995	0.500526316	0.805894737						53250.25081	590.0224118	4.52699995	3.359999895
0.616380217	10.20254803	10.20254803	116287.0078	3.210000038	4.527999878	0.500526316	0.805894737						53255.25073	595.0223366	4.527999878	3.210000038
0.616438078	10.202528	10.202528	116312.8359	3.559999943	4.539999962	0.500526316	0.805894737						53260.24994	600.0215443	4.539999962	3.559999943
0.616496009	10.20258236	10.20258236	116309.0547	3.460000038	4.527999878	0.500526316	0.805894737						53265.25519	605.0268	4.527999878	3.460000038
0.616553841	10.20262814	10.20262814	116313.3828	3.430000067	4.518000126	0.500526316	0.805894737						53270.25184	610.0234416	4.518000126	3.430000067
0.616611703	10.20256233	10.20256233	116315.375	3.190000057	4.528999806	0.500526316	0.805894737						53275.25113	615.0227357	4.528999806	3.190000057
0.616669623	10.20251846	10.20251846	116331.6797	3.349999905	4.529999733	0.500526316	0.805894737						53280.25542	620.0270237	4.529999733	3.349999905
0.616727538	10.20254707	10.20254707	116323.9922	3.230000019	4.529999733	0.500526316	0.805894737						53285.25931	625.0309142	4.529999733	3.230000019
0.616785398	10.20262241	10.20262241	116341.3125	3.200000048	4.514999867	0.500526316	0.805894737						53290.25835	630.0299578	4.514999867	3.200000048
0.616843177	10.20257282	10.20257282	116339.5938	3.5	4.502999783	0.500526316	0.805894737						53295.25052	635.0221238	4.502999783	3.5
0.616901076	10.20253468	10.20253468	116348.7031	3.630000114	4.50699997	0.500526316	0.805894737						53300.25298	640.0245888	4.50699997	3.630000114
0.616958997	10.20271397	10.20271397	116344.6328	3.519999981	4.50699997	0.500526316	0.805894737						53305.25738	645.0289805	4.50699997	3.519999981
0.617016815	10.20267487	10.20267487	116352.125	3.569999933	4.506000042	0.500526316	0.805894737						53310.25279	650.0243952	4.506000042	3.569999933
0.617074711	10.2025671	10.2025671	116359	3.450000048	4.535999775	0.500526316	0.805894737						53315.25506	655.0266701	4.535999775	3.450000048
0.61713254	10.20251846	10.20251846	116358.6797	3.319999933	4.552999973	0.500526316	0.805894737						53320.25141	660.0230179	4.552999973	3.319999933
0.6171905	10.20248413	10.20248413	116359.625	3.359999895	4.546000004	0.500526316	0.805894737						53325.25923	665.030831	4.546000004	3.359999895
0.617248338	10.20259571	10.20259571	116373.4375	3.450000048	4.544000149	0.500526316	0.805894737						53330.25641	670.028017	4.544000149	3.450000048
0.617306169	10.20255089	10.20255089	116378.875	3.799999952	4.547999859	0.500526316	0.805894737						53335.25301	675.0246154	4.547999859	3.799999952
0.617364074	10.20262051	10.20262051	116395.9141	3.450000048	4.583000183	0.500526316	0.805894737						53340.25602	680.0276246	4.583000183	3.450000048
0.617421959	10.20266533	10.20266533	116388.9453	3.460000038	4.565000057	0.500526316	0.805894737						53345.25729	685.0288973	4.565000057	3.460000038
0.617479844	10.20265865	10.20265865	116390.4766	3.700000048	4.545000076	0.500526316	0.805894737						53350.25854	690.030144	4.545000076	3.700000048
0.617537688	10.20270061	10.20270061	116393.3828	3.630000114	4.546999931	0.500526316	0.805894737						53355.25628	695.0278829	4.546999931	3.630000114
0.617595538	10.2024889	10.2024889	116399.8828	3.529999971	4.554999828	0.500526316	0.805894737						53360.25447	700.0260797	4.554999828	3.529999971
0.617653493	10.20252991	10.20252991	116395.5313	3.619999886	4.543000221	0.500526316	0.805894737						53365.2618	705.0334003	4.543000221	3.619999886
0.617711331	10.20254993	10.20254993	116406.9922	4.039999962	4.704999924	0.500526316	0.805894737						53370.25903	710.0306381	4.704999924	4.039999962
0.617769172	10.20248604	10.20248604	116402.1797	4.029999733	4.631000042	0.500526316	0.805894737						53375.25648	715.0280832	4.631000042	4.029999733
